applications,seats,placements_pct,ad_budget,courses,annual_fees,last_year_admissions,admissions
2603,1594,71.3,740273,10,196035,1244,1399
2053,1433,91.9,364116,12,133786,957,1152
3000,2017,69.4,209488,9,120615,1597,1556
1643,828,88.4,285272,7,242389,667,672
2487,1988,83.9,407637,5,210954,1802,1558
1979,1138,88.2,289268,8,212737,990,910
3000,2188,74.4,248177,12,184151,1474,1624
2725,2165,76.9,609909,10,221855,1543,1897
2321,1299,78.4,85648,8,207853,966,1062
1835,1310,74.2,468246,10,179785,897,1063
3000,2150,79.8,651512,8,243197,1692,1927
1210,1016,90.6,271684,6,108529,960,829
3000,2124,67.6,514370,11,240091,1709,1604
2810,1955,72.7,561608,6,145252,1706,1538
3000,1893,71.9,551618,6,167470,1618,1668
2413,2075,77.2,401012,11,96479,1878,1628
1941,1244,76.9,329536,10,169519,889,956
2687,1675,84.2,681865,10,181961,1468,1500
3000,2005,78.3,626081,11,249598,1833,1664
1673,966,80.4,311304,8,245659,678,803
1632,890,81.2,154174,5,244120,671,689
2958,1513,80.0,131701,10,135968,1424,1145
1717,838,83.6,147879,8,248472,741,639
2817,1949,77.0,499666,5,154709,1432,1394
1644,972,91.2,117197,11,224071,796,730
2939,1452,98.0,322587,6,112856,1120,1254
3000,1553,83.6,622304,10,163521,1238,1433
3000,2043,79.8,291931,7,244052,1546,1545
2838,1881,83.0,629582,6,240730,1380,1434
1676,1275,69.2,616736,9,194654,1087,1111
2056,1255,79.4,256996,5,214618,1109,1051
3000,1628,72.1,604752,7,105875,1485,1406
2781,1694,82.1,618399,6,201290,1180,1288
3000,2184,72.2,366167,12,183159,1959,1808
3000,1824,75.2,231503,10,91022,1325,1493
1776,1186,63.0,455315,7,94803,923,982
2347,1147,68.6,743406,8,93978,1056,983
1530,989,80.8,540524,5,201762,778,768
1905,1304,71.0,204504,9,99800,925,979
3000,2014,86.5,571585,8,156853,1406,1804
3000,2192,70.4,387586,12,137472,1736,1799
2010,1623,81.6,505901,7,171338,1426,1205
2274,1728,71.9,608526,6,198633,1640,1538
3000,1733,81.1,450762,5,194826,1536,1503
2508,1940,65.7,666068,10,165216,1771,1750
1609,933,74.4,599952,9,156259,816,831
1489,857,71.2,522853,6,144618,787,653
2432,1484,85.1,188571,9,225834,999,1206
2661,1471,81.7,681883,10,132899,1367,1314
1315,972,68.1,753852,11,120389,747,751
2757,1614,76.4,178615,5,205080,1495,1144
2977,1972,71.8,431534,7,137959,1327,1638
1607,879,85.6,266400,9,223225,760,751
2115,1685,88.2,623257,5,132381,1467,1590
3000,2036,66.5,599573,9,197840,1932,1630
1306,1002,84.6,181437,6,82894,882,687
2198,1563,71.4,711460,9,142474,1195,1290
2751,2052,76.0,210301,11,135065,1677,1693
2667,2050,78.3,654026,6,217919,1558,1643
1699,846,92.5,409026,6,244235,600,711
2908,2056,70.0,316356,5,155654,1490,1507
3000,2128,84.7,193932,8,219346,1525,1795
3000,1966,68.6,200682,10,197447,1602,1593
3000,2196,68.1,556561,9,244293,2024,1682
2618,2082,78.2,476310,7,216944,1923,1611
2200,1455,78.2,167902,12,88559,970,1102
2511,1270,55.3,161142,6,199824,856,831
2662,1770,87.3,132064,8,168712,1281,1319
2194,1835,60.9,615512,6,77876,1333,1278
3000,2153,76.8,592555,8,118980,1461,1869
3000,1535,88.6,122070,8,236307,1177,1306
3000,1583,95.7,483394,7,237061,1308,1321
2284,1767,75.1,140967,8,214799,1455,1359
2129,1157,66.5,730697,7,246811,941,1028
2378,1771,88.3,733125,5,216145,1331,1560
1966,1467,84.9,582728,6,76786,1264,1353
2416,1172,74.1,746856,7,125371,1052,1016
2517,1831,73.1,664246,10,80359,1380,1657
2703,1945,72.3,676548,11,91469,1314,1638
2390,2171,75.2,490190,6,113297,1604,1697
3000,1475,80.5,300363,11,163123,1020,1266
1753,889,73.5,236815,10,223318,702,736
2680,1497,74.5,315584,9,225844,1043,1154
3000,2139,83.1,532517,10,182835,1687,1691
2536,2001,66.1,204313,5,237431,1433,1488
2148,1339,75.0,266221,9,162511,1167,930
2276,1531,64.6,417004,9,230581,1008,1184
2007,1668,78.9,247796,8,154461,1362,1210
1373,840,62.5,503823,10,123514,589,652
3000,1539,85.1,744687,12,235372,1001,1308
1488,1301,67.5,618624,8,142889,1185,1093
2497,1758,63.8,559827,10,163096,1497,1458
2614,1968,75.1,499559,9,132551,1338,1597
2757,2024,91.7,431322,12,190997,1719,1660
3000,1728,83.7,214326,8,249130,1440,1466
2035,1260,62.6,724192,11,79465,998,1111
2469,1531,67.3,258946,6,232473,1188,1162
3000,1551,74.8,145742,12,75687,1421,1343
2189,1724,95.9,620011,10,138740,1247,1462
2794,1708,70.5,206443,10,104506,1314,1351
3000,2076,70.6,347765,8,207535,1554,1566
2089,1189,90.2,100365,10,83857,1048,929
3000,1682,79.6,178689,9,171860,1556,1279
2053,1055,86.4,204707,8,126612,955,887
2319,1508,72.2,119175,8,98392,1341,1175
2511,1249,77.2,552793,12,210068,1182,1002
1042,809,88.5,682646,7,113048,695,704
1840,1623,76.8,348787,11,114143,1421,1435
2116,1597,87.0,709695,11,123138,1509,1323
3000,2065,81.1,233610,7,177684,1347,1538
3000,2074,69.7,314281,12,190442,1743,1649
2978,1676,77.9,188531,9,78080,1461,1440
3000,1828,85.9,526803,6,117327,1692,1472
3000,1942,83.4,382306,10,150420,1777,1769
2997,1815,77.7,521564,12,133096,1638,1428
1355,1173,62.9,628406,5,229730,1095,931
2149,1888,63.6,472906,10,212849,1532,1323
1612,945,65.3,531894,5,184531,616,707
1618,1023,73.9,753380,12,134157,668,869
3000,2062,75.0,295326,11,197618,1677,1670
1246,976,66.2,338598,9,222637,762,816
1863,1652,86.2,596746,6,179095,1297,1294
3000,2105,67.9,520140,6,212281,1621,1711
1173,862,67.0,208544,6,206093,798,588
2355,2040,78.7,350826,7,175054,1546,1697
3000,1626,85.8,416843,9,129632,1475,1461
1949,1594,94.4,381961,5,205512,1468,1363
2632,1488,82.7,208358,6,111189,1190,1248
1274,904,90.6,745590,9,211410,709,779
2481,1922,68.3,628870,10,215796,1688,1599
1988,1310,95.3,426576,5,218875,1130,1068
2346,1184,63.1,569644,11,157760,886,981
1844,1204,74.0,726044,7,108684,820,960
3000,1622,82.5,178045,8,92452,1183,1311
1630,1317,65.2,260269,12,205088,908,1046
2486,1275,70.6,470745,12,230096,941,1125
2052,1508,69.3,655287,5,188897,1099,1242
2897,1570,75.5,106104,11,100228,1321,1305
3000,1846,89.4,788493,11,238607,1728,1566
3000,1796,78.1,407533,11,248093,1537,1605
2252,1476,74.3,338646,10,150841,1370,1161
1774,1513,55.0,290762,5,179094,1339,951
1000,882,81.7,205537,5,211015,766,652
3000,1968,84.3,649933,8,203868,1524,1718
3000,1908,64.4,767898,6,244363,1426,1577
3000,1901,77.5,377824,10,95105,1718,1356
1705,1256,79.5,765743,11,176627,1158,1092
1184,800,85.7,673134,8,196088,628,683
1000,850,72.2,426357,5,230767,555,616
3000,1484,71.0,565299,10,227969,1317,1287
2781,1516,74.3,393189,7,246150,1115,1209
2654,1248,88.3,482281,5,164614,815,919
2339,1680,86.4,121793,7,220383,1498,1357
2281,1287,77.8,581310,9,149774,1036,1091
1538,833,86.2,118034,7,148905,713,719
3000,2171,59.1,668301,5,119336,2007,1624
1817,894,84.3,673962,8,218192,726,762
3000,1895,69.0,250696,5,247518,1518,1543
1976,953,92.1,313037,5,119860,703,736
2007,1049,69.5,426543,9,84823,778,906
2070,1473,71.2,509597,11,217720,1309,1279
1744,1237,82.5,286895,6,183540,971,989
1980,917,83.3,506590,5,242947,641,753
1745,1570,74.4,294407,9,119142,1065,1166
3000,2129,81.0,119953,8,87430,1686,1561
2003,1067,82.0,81820,9,161177,842,856
3000,1877,81.1,152829,12,89957,1588,1225
2266,1035,74.8,650421,9,120813,819,852
1714,1188,82.0,772231,7,97046,823,968
2637,1789,89.3,387416,6,114223,1435,1359
1854,1562,68.2,449132,6,93575,1440,1225
1904,1200,71.3,185731,10,241934,837,845
1974,1423,78.2,476743,11,123748,1219,1254
2314,1566,69.6,184152,8,152682,1297,1266
3000,2126,63.6,520074,10,232257,1859,1848
3000,1718,86.7,751946,11,193531,1194,1468
2648,2030,60.2,220903,11,183157,1893,1563
3000,2052,74.8,630486,9,198474,1716,1787
3000,1652,84.1,96922,8,220044,1494,1286
1608,1377,80.1,350358,11,228592,997,1063
1050,874,74.9,159739,8,187462,762,667
1578,1234,69.2,333782,6,230751,1091,932
1583,902,80.8,204947,6,168695,694,658
1978,1563,70.1,348780,6,123526,1196,1014
3000,1537,80.1,380616,5,229013,1302,1169
2554,1605,79.1,296426,9,169758,1088,1093
3000,2129,79.2,552768,12,233574,1854,1690
1230,897,72.9,741573,8,82029,595,811
2584,1597,94.3,368429,9,144565,1129,1181
3000,2158,80.9,218487,11,240866,1833,1760
3000,1658,75.8,274920,8,118689,1127,1419
2381,1234,80.1,694881,8,239769,1162,962
2163,1246,71.8,491581,10,241933,1135,1135
3000,2131,74.9,407608,8,229375,1786,1688
2095,1048,97.1,187738,8,173642,939,933
1865,965,71.9,403804,7,188214,884,790
2070,1783,77.4,280514,12,227183,1298,1371
2390,2158,74.4,759077,7,210782,1953,1465
2426,1819,69.7,716530,10,185266,1289,1413
2454,1341,81.4,140410,5,246895,1038,1084
2419,1558,78.3,451991,6,194993,1274,1371
2976,1929,85.3,242042,11,245709,1667,1423
1824,880,84.5,375760,11,85043,580,736
1943,932,85.2,711331,12,99318,687,806
3000,1596,70.7,459810,8,154005,1329,1330
2456,1699,83.1,320635,9,142354,1287,1372
1743,937,83.3,229680,11,211979,827,746
1375,983,69.8,656234,7,103107,831,832
2820,2153,75.5,529653,6,245817,1551,1649
2064,1584,66.4,417007,5,130137,1099,1218
2632,1783,83.4,236589,6,150062,1495,1462
1365,868,83.3,320657,8,123080,682,666
2709,1345,89.4,771087,12,176389,942,1187
1050,852,76.2,454465,6,85260,637,649
1916,1004,81.6,368503,8,101194,744,845
1558,925,85.9,455424,10,205515,631,790
1193,842,72.0,640872,7,107638,685,666
1494,910,70.8,324878,7,116215,800,728
2231,1560,72.2,208668,8,213772,1283,978
3000,2006,75.2,501154,9,91328,1801,1719
2598,1647,71.0,558947,7,151558,1134,1409
1145,894,72.6,593157,12,79036,698,717
2698,2197,85.0,715031,9,135691,1830,1784
2891,1699,77.2,347245,8,197322,1449,1358
2425,1159,80.5,134256,10,90768,995,874
2512,1699,73.6,770011,8,230459,1476,1366
2059,1080,73.1,393209,10,234162,913,899
3000,2018,80.3,528745,11,93373,1369,1765
3000,2018,79.0,559740,7,248378,1733,1686
2937,1466,84.2,473490,12,127068,1272,1437
1537,892,88.4,227785,9,89718,846,777
2681,1471,72.5,623703,12,75887,1262,1305
1796,860,84.9,658701,8,146492,736,772
2206,1433,69.4,478142,11,185217,1153,1172
2735,1874,94.6,431764,7,133131,1706,1595
2033,1828,71.7,162035,12,221426,1735,1420
2819,1403,83.5,140445,11,200406,1240,1208
2934,1481,69.3,324487,10,136278,1235,1172
1619,1333,76.8,303809,8,203504,898,1016
2839,1637,90.4,766633,11,239585,1421,1550
2325,1444,71.5,644208,12,91292,1246,1186
1270,1032,95.6,555145,11,128568,911,830
2882,1323,78.0,452707,10,156082,909,1056
1530,1145,85.8,200505,6,162148,969,931
2194,1869,81.2,784489,12,169884,1381,1832
2360,1345,81.7,350029,10,127610,1181,1042
3000,1901,66.6,156986,6,191770,1373,1487
2153,1896,74.2,435535,7,187890,1621,1502
2907,1593,87.6,709279,8,176119,1176,1471
1766,1048,75.2,718850,11,94908,684,932
1027,846,79.1,87895,7,158469,711,686
2507,1944,65.6,718133,5,137340,1330,1592
1747,1013,73.7,275469,10,160932,859,765
1480,1038,87.0,108060,7,236327,963,767
3000,1879,67.7,690409,7,159093,1768,1566
2299,1149,83.7,701984,11,77447,828,1037
1977,906,79.4,509286,6,151796,809,733
2259,1630,76.1,493592,10,218613,1232,1494
1835,847,75.8,665447,6,211511,779,753
1788,1136,74.1,646143,8,164843,1007,825
2741,1849,74.8,720876,7,118710,1243,1530
1852,1603,85.4,477978,10,156391,1238,1232
2409,2080,74.5,776706,7,173648,1562,1922
1502,807,92.5,797226,8,249978,715,626
2284,1424,80.4,163912,9,187731,1101,1147
2801,2076,73.4,691672,8,196496,1776,1730
2695,1518,85.8,439872,6,161004,1261,1308
1519,1102,83.0,359048,6,137036,1039,891
2495,1438,64.8,521412,12,217267,1339,1332
1278,855,69.7,120295,7,161613,665,681
3000,1525,77.1,444652,6,249071,1322,1103
2654,1325,65.3,707041,10,154996,1191,1217
2069,1273,94.7,233692,8,86900,1171,1046
1229,827,84.6,387001,7,194451,554,725
1314,877,77.9,756426,8,83162,650,729
3000,2039,75.3,388566,8,118838,1521,1515
1701,1164,73.2,338025,7,136904,908,838
1948,1465,62.3,397186,11,204410,1027,1228
1581,1325,64.1,454006,9,161491,1058,1089
2417,1498,93.2,535034,12,80013,1272,1249
3000,2135,90.6,656499,11,182949,1706,1557
3000,1682,73.4,405514,6,147001,1429,1435
2458,1830,85.3,668586,5,236321,1226,1331
2774,1826,82.1,464279,12,162423,1667,1722
3000,1718,83.0,323706,11,199071,1601,1288
3000,1549,66.6,553725,5,113302,1294,1252
1770,1162,63.5,596760,5,208170,1063,936
3000,2097,87.5,481795,6,201167,1446,1751
2301,1605,62.2,120763,9,233214,1427,1223
3000,1538,76.8,202316,8,80919,1055,1228
2262,1838,75.1,285414,7,153313,1420,1376
3000,2015,74.3,283490,9,193852,1505,1562
2378,1284,80.5,564863,5,91654,1060,1020
1393,827,72.6,93211,12,146856,612,649
1719,1513,81.2,624091,10,239876,1273,1125
3000,1862,79.1,271047,6,151289,1416,1489
3000,2096,94.8,303216,11,247446,1904,1721
2624,2054,66.9,460095,12,84947,1726,1735
1613,885,78.2,235466,6,200620,632,682
2006,925,81.5,716819,11,176678,695,840
2768,1611,75.9,141466,7,162594,1457,1286
2520,1336,67.3,399955,10,244898,1023,1071
1109,944,88.1,691584,8,97689,765,812
3000,2035,80.7,523408,9,231800,1719,1543
1012,824,67.9,290477,10,195967,622,692
1536,866,81.5,382947,9,120324,639,686
2201,1032,91.6,588820,9,232792,818,887
1660,908,77.7,780748,8,150127,649,734
2332,1969,78.0,723060,8,217490,1448,1563
1356,910,90.5,326552,11,143046,608,825
1752,1027,70.2,798702,8,223913,761,878
1405,910,91.8,82523,7,186410,679,697
1680,833,85.8,99893,6,99683,782,642
2839,1422,70.6,673165,5,188691,1176,1181
3000,2192,72.7,223613,8,108485,1943,1763
2337,1547,73.8,123754,6,147086,1027,1181
1925,1394,63.3,250747,11,104802,951,1089
1489,1224,80.1,386792,8,78853,1095,916
2104,1412,71.0,606008,5,112080,1182,1116
2318,1491,80.4,529522,10,168865,1055,1253
3000,2105,67.7,251087,12,159273,1624,1645
3000,2143,85.4,442355,8,162762,1739,1704
1311,1114,83.9,746874,6,118345,1006,902
2572,1676,72.4,666806,11,194903,1120,1447
2860,2200,80.9,312697,11,198246,1824,1815
2688,2112,78.7,787230,12,137644,1827,1923
2937,1461,89.9,590207,7,229205,1378,1268
1233,1076,69.7,124964,11,187704,960,702
2221,1423,76.8,105316,10,199782,1043,1270
1690,1315,72.9,201254,11,123534,1135,1019
3000,2173,78.4,604056,11,75107,1910,1775
2812,1642,82.3,212292,10,226441,1427,1311
1556,1149,72.8,448270,12,218924,1030,911
2681,1622,75.1,147147,12,96559,1494,1213
3000,1960,85.7,743038,10,140468,1332,1759
3000,1558,88.9,327652,5,190734,1062,1254
2280,1698,81.9,733855,6,189119,1509,1413
2162,1042,76.9,760310,9,225561,756,774
2855,1342,76.1,84413,11,99547,896,1046
3000,1863,82.4,414177,12,150239,1435,1449
1849,1028,79.8,97752,9,92014,921,777
2415,1347,64.8,734259,9,143179,927,1146
2653,1719,82.6,453253,7,77644,1464,1346
3000,2046,71.1,133960,8,232198,1332,1502
1356,805,66.7,159399,11,167233,550,628
3000,2145,64.7,356126,8,223715,1620,1606
1991,1267,76.3,756969,8,85483,855,1007
1665,874,69.9,578895,7,114805,790,644
1612,803,59.4,704686,9,120391,730,684
1822,1445,75.1,343849,10,142671,1267,1106
1849,917,74.1,111114,8,215502,663,637
2846,1680,76.8,781509,12,142648,1356,1570
2644,1303,73.0,92365,10,110814,919,1042
2749,1746,92.6,762309,10,86373,1282,1434
2083,1373,82.1,345448,7,88911,1105,1048
2092,993,74.0,87265,12,208008,864,838
2265,1646,77.5,576193,7,152841,1117,1328
3000,1514,89.3,785989,6,202082,1119,1295
3000,1849,85.7,775251,11,194400,1716,1693
1619,972,66.8,195875,8,98688,757,737
3000,2123,70.2,210498,9,100005,1978,1762
1947,1125,71.7,487188,5,207185,1066,877
2829,1941,74.5,538859,12,201222,1568,1556
1869,1635,73.2,612381,7,141155,1204,1318
2131,1523,78.3,210356,10,88549,1351,1268
1134,1024,83.9,770485,6,77117,715,869
2897,1331,85.2,539892,5,125427,966,1120
1972,912,75.4,689874,7,76614,808,737
1441,939,64.9,468847,6,115263,733,692
2582,1358,69.7,378279,10,148413,965,1166
1184,800,73.8,783572,8,96248,676,718
1634,889,68.0,499127,11,93249,773,779
2886,1453,87.1,704149,11,231877,999,1342
2396,1119,68.6,766371,6,177457,820,969
1445,938,82.9,566255,7,238530,672,797
3000,1644,64.5,475236,11,135520,1256,1352
1473,1058,83.3,82528,11,193500,930,855
3000,1701,76.9,108814,8,110821,1470,1313
1680,1489,90.1,224613,10,183210,1264,1224
1427,809,68.9,213926,9,97678,527,668
1935,1060,73.5,263426,11,75364,734,784
1803,971,75.0,299553,6,238018,696,820
2091,1697,76.8,339247,5,172107,1242,1304
1731,812,75.2,382787,12,237215,563,734
2587,1991,75.4,151184,10,133421,1539,1658
1999,1120,75.3,110501,8,132363,753,808
2881,2142,61.4,565240,10,145115,1874,1717
1622,1128,85.9,466881,8,198557,1000,821
2695,1584,98.0,399784,10,174017,1302,1313
2457,1576,80.4,536797,12,236937,1067,1355
2182,1710,68.9,675929,9,79452,1568,1475
2470,1918,69.7,387939,6,198934,1802,1489
1742,1117,82.9,541606,5,132807,794,938
2001,1035,81.1,766572,11,106541,892,875
2365,1133,75.7,684530,9,164319,1023,969
1401,1175,84.0,386721,6,163386,954,895
3000,1960,61.5,544196,5,98977,1464,1566
1679,1387,84.0,207491,10,110332,1101,1187
1467,1312,79.9,483576,12,146429,1054,1071
3000,2119,70.0,786556,11,146542,1632,1653
3000,2143,66.5,453187,5,130573,1991,1684
2197,1717,79.0,747900,7,100995,1499,1496
2948,2172,89.3,373281,5,75765,1569,1636
1883,1672,76.2,799168,6,244791,1381,1489
3000,2052,71.2,497038,9,240112,1758,1596
2322,1069,79.5,110434,11,159639,740,813
1995,1597,92.6,502463,9,249134,1210,1188
2864,2114,81.5,277692,11,192890,1948,1720
3000,1524,82.3,103387,7,87050,1250,1334
3000,1988,87.8,671014,6,95601,1422,1713
1256,804,81.8,278525,12,235319,552,623
1907,1650,71.8,653515,12,185259,1329,1412
1003,877,64.0,287517,5,222557,714,687
2377,1373,70.6,219915,7,232197,1030,1141
1426,931,69.2,781234,10,153390,781,731
1584,1400,83.3,340385,8,83492,939,1215
3000,1865,84.4,512991,10,107949,1293,1584
1000,888,79.4,519187,6,86650,723,787
2361,1201,67.9,483541,7,108029,803,982
1574,1095,92.3,738581,9,146843,1001,983
2424,2118,74.7,565598,7,95684,1467,1598
2472,1415,82.8,370688,8,104178,1206,1223
2458,1599,78.4,700914,12,153019,1227,1287
2651,1221,79.7,210365,6,134530,940,982
3000,1846,82.5,471850,7,156840,1623,1472
1927,1374,72.4,764396,11,150105,1099,1161
1771,942,88.4,530286,10,187784,817,858
2506,1792,65.4,668217,5,239008,1436,1404
3000,1464,69.7,550564,10,93876,1212,1303
1428,944,88.3,684347,6,92371,829,779
3000,2048,82.7,760031,12,224241,1704,1796
2087,1806,98.0,276504,7,163619,1507,1641
2042,1302,78.5,202156,12,209121,1155,1047
3000,1620,91.6,428473,10,112699,1514,1367
1794,903,63.1,585341,7,220051,689,744
2508,1862,66.7,243578,10,236673,1533,1402
1345,997,85.2,82953,6,186210,674,708
2755,1378,64.1,326913,9,93529,1044,1237
2527,1190,76.4,777579,12,231677,921,1025
2412,2002,87.3,580377,12,213685,1803,1541
2158,1353,82.0,368954,10,206404,1088,1094
2704,1838,78.1,218655,5,81427,1598,1442
3000,2112,74.4,336385,10,214818,1385,1657
1522,1277,79.6,202284,6,99141,1008,969
2736,2054,82.6,156540,10,113918,1890,1589
3000,1722,72.7,732855,5,175999,1235,1470
1410,1219,81.0,798308,11,121372,804,1095
1570,956,86.6,198162,5,190736,746,739
2140,1349,76.2,119256,6,181412,1162,1200
2818,1920,78.5,317406,7,93926,1510,1613
2792,1820,81.9,412395,10,189803,1434,1491
3000,1796,82.4,227471,9,236692,1528,1315
2236,1750,85.0,297026,5,103194,1271,1375
1881,1088,69.9,224627,11,179486,953,903
3000,2077,73.8,637468,5,134826,1445,1771
1926,995,74.1,593056,10,155432,765,748
1773,1397,70.8,537165,7,125225,1183,1121
1664,1316,63.6,358797,12,136973,1182,1001
2321,1664,55.0,734509,10,80060,1477,1480
2906,1941,87.6,778063,12,246772,1682,1722
2487,1605,65.6,205020,11,184340,1216,1059
3000,1982,90.5,240569,11,162623,1361,1651
1876,1614,83.9,458454,6,142150,1154,1132
1169,1027,74.8,145700,9,169391,934,801
1554,1015,82.9,394243,10,141519,921,962
3000,1747,81.4,498890,5,137984,1634,1543
1069,814,69.2,455893,5,156191,548,643
3000,1980,77.9,318254,6,123297,1606,1488
2888,2084,70.2,470561,7,106509,1760,1783
3000,1980,83.2,770337,10,172406,1709,1777
1764,846,72.3,228333,8,222484,713,657
1603,1123,77.2,551479,7,101745,989,884
2223,1643,76.9,111246,5,80729,1245,1154
1442,929,79.0,127820,11,118192,654,746
1220,894,91.3,477316,10,246451,636,729
2623,1426,76.1,155556,11,220033,932,1144
3000,1554,87.7,96090,5,179277,1173,1287
3000,2115,81.8,203489,9,237619,1433,1614
3000,1593,89.3,486691,7,152924,1189,1389
3000,2106,75.3,586405,8,247074,1766,1854
1104,868,83.6,225785,9,126853,797,699
1549,810,77.5,561147,8,117054,731,706
3000,2077,55.0,211383,9,186658,1507,1593
3000,1671,69.3,521689,7,141177,1153,1357
1886,1349,82.7,376611,5,184614,955,1123
2328,1957,82.1,550736,8,128374,1842,1756
3000,1511,67.6,796438,12,183136,1231,1380
1045,822,79.8,755228,7,123256,579,681
3000,1614,82.0,83083,8,83920,1456,1248
2490,1145,77.7,717516,12,234624,880,996
2172,1101,83.8,127873,7,229561,1013,922
2121,1162,82.7,766194,9,244890,846,982
2074,1195,77.7,282914,7,200392,918,885
2088,1017,73.9,355065,9,194476,815,850
1333,940,86.3,145980,5,172826,863,723
2837,1757,81.7,160836,9,97040,1600,1512
3000,2033,66.9,603253,6,108116,1672,1402
2769,1784,79.8,759919,5,125657,1278,1517
2814,1792,68.8,519739,11,230777,1382,1431
2381,1627,70.3,595412,11,105270,1534,1411
2550,1482,72.8,628618,11,236503,1234,1230
3000,1803,78.4,269226,10,166488,1594,1393
1527,1155,81.0,112565,12,200225,907,957
3000,1807,74.7,81348,10,94293,1463,1511
3000,2147,75.1,332467,7,122081,1672,1669
3000,1956,74.0,253854,7,242741,1684,1509
2888,1687,86.4,124869,12,121576,1527,1465
1813,926,55.2,209260,6,126891,743,750
2156,1929,75.5,169639,7,109580,1532,1552
3000,1808,90.4,738712,5,97588,1360,1513
1605,1403,82.1,180992,5,115820,986,1015
3000,1813,88.1,467107,11,187407,1689,1679
1862,850,61.7,507036,9,154689,633,717
2636,1852,68.1,471312,8,171907,1649,1402
2821,2119,82.1,151321,7,96414,1832,1616
3000,2120,90.4,309535,6,215370,1881,1703
2175,1578,68.9,116915,11,212217,1469,1194
3000,1613,74.9,364882,12,78778,1350,1304
2631,2169,81.2,215791,10,142115,1994,1832
1510,1219,66.4,484375,12,87035,854,1012
3000,2005,82.2,578822,5,213619,1680,1868
3000,1782,56.6,463126,5,204022,1571,1491
3000,1624,81.9,392650,5,232848,1188,1322
2657,1824,70.0,358880,8,116371,1591,1560
2519,1366,74.4,686018,8,154852,1207,1179
2052,1170,83.2,237945,7,107285,1052,1072
3000,1735,81.6,608637,10,139966,1291,1449
2702,1460,77.9,625387,6,166393,1248,1252
3000,1768,85.8,381824,8,84333,1311,1395
3000,2132,64.4,294056,12,200102,1858,1628
2751,1960,79.6,418790,9,170076,1546,1551
1947,1001,71.7,147114,8,220068,830,840
1500,1112,85.3,113070,5,122562,862,857
1705,916,83.5,160354,12,233081,640,630
2355,1736,83.8,214744,6,249771,1221,1354
2457,1374,91.2,443007,7,235877,925,1079
2004,1043,87.0,691378,8,211131,871,882
1791,1336,76.7,249662,5,217165,1209,1098
1019,874,78.0,753317,11,175405,574,682
1474,1185,82.8,767534,9,108277,794,936
3000,2033,79.1,770411,9,193482,1600,1568
2592,1274,83.6,683045,11,199732,1110,1092
1399,1217,60.2,341954,7,247442,849,813
2186,1146,93.0,132332,7,169728,838,827
2123,1439,78.5,489549,8,122490,1036,1155
2827,1738,65.0,482251,7,194643,1338,1407
3000,1754,70.7,691983,12,246391,1258,1415
2454,1675,61.0,797114,10,106012,1266,1427
2518,1562,69.3,445873,10,132050,1357,1270
2232,2002,76.9,328547,5,169829,1668,1588
2385,2005,90.1,213849,5,104788,1352,1448
2025,1463,81.3,83456,12,78889,1231,1287
1000,824,79.9,446562,5,133972,654,603
3000,2003,68.9,479973,10,226440,1864,1555
2368,1509,71.4,673956,8,82607,1112,1291
3000,1984,72.0,443295,8,150063,1722,1598
1261,976,72.4,739857,7,208385,848,847
1545,1084,75.2,532220,8,241807,777,864
1578,862,75.8,685042,5,247458,794,666
3000,1802,75.3,186777,6,148845,1437,1249
1688,1461,72.6,695842,5,241317,1247,1309
3000,1465,79.1,566104,10,81198,1016,1225
1657,955,75.5,202568,11,205535,695,751
3000,1872,65.2,216630,6,187481,1546,1584
2914,1766,78.3,747080,7,118666,1317,1454
1939,1648,77.1,103195,9,163781,1318,1250
2286,1907,65.4,413025,11,97672,1454,1403
3000,2184,73.3,305702,8,227530,1839,1559
2195,1488,82.8,558856,8,137632,1185,1374
1997,947,68.9,684533,10,184558,617,896
1765,1141,68.1,339472,5,102786,964,936
1603,1275,75.4,387370,5,111079,990,1053
3000,1886,83.0,786981,6,248592,1419,1681
3000,2183,92.5,644420,8,206790,1481,1776
2282,1360,83.3,725987,11,243345,974,1203
2103,1126,86.7,395909,10,126774,807,914
3000,1964,80.8,248535,11,103799,1828,1320
3000,1789,72.5,376542,7,163037,1395,1520
1870,1014,83.2,595586,5,161567,672,874
2280,1234,77.3,158790,12,105616,853,907
3000,1751,81.0,274738,11,203313,1180,1390
2169,1522,70.4,113578,8,138311,1258,1226
2358,2141,81.7,391290,9,107614,1512,1722
1163,831,77.0,675761,10,133097,664,628
1968,1469,79.9,97758,6,173640,1118,1018
1982,1084,77.3,566233,5,202132,966,991
3000,2128,75.8,751397,5,159331,1588,1769
2152,1228,81.9,250588,7,166979,967,1041
1213,1085,74.8,579417,5,99316,940,962
3000,1967,65.3,782073,10,235071,1534,1609
2682,1842,63.0,772840,8,237527,1636,1553
1496,817,79.5,249149,8,194600,693,571
2685,1568,74.4,152238,8,78085,1212,1166
2052,1389,64.2,186763,12,168988,1113,1111
2738,2194,78.9,585466,9,185113,2063,1784
2405,1998,77.2,602546,9,249064,1695,1685
3000,1809,74.0,565450,12,249312,1667,1603
2095,993,80.0,321976,5,225082,699,823
2361,1301,88.5,202239,11,86170,1034,1085
2169,1787,88.3,498148,9,241823,1649,1491
2986,1936,79.2,428250,11,182216,1446,1537
1736,913,77.3,604761,11,215155,858,737
